frame,feature_1,feature_2,feature_3,feature_4,feature_5
1,0.1460775408744814,0.20339455242951712,0.08638260201613113,0.17292415952682494,0.2501751825809479
2,0.10460910451412189,0.16129812699556342,0.11264496944348018,0.2086462483008703,0.23823637616634372
3,0.10320082022746396,0.1564787308772405,0.12241032604376476,0.10728308622042337,0.19117982083559043
4,0.12053031750520068,0.1660367594957352,0.11618966348965959,0.18938196905453997,0.2250206737518311
5,0.11179765212535855,0.23258314766486496,0.1924913536310196,0.21248182692130413,0.2802035553057988
6,0.1323194340268769,0.22426148905356721,0.20510504517952605,0.1122404719789823,0.28177095198631286
7,0.14449923660357783,0.19666090683142348,0.3299017211397489,0.1262026595671972,0.320692037900289
8,0.16705036310354882,0.21795343317588164,0.3034562130570413,0.18585870254039766,0.2614599322080612
9,0.15826234813531237,0.23900707717736555,0.41154137766361243,0.1630321223139763,0.30725561167796456
10,0.1906650264859201,0.21999256688356394,0.494289865175883,0.15501442420482642,0.3069702077706656
11,0.1675885485609373,0.27331023275852206,0.4331279696027438,0.24460721592108411,0.3496961530049641
12,0.1770280727942785,0.22900771301984793,0.45579808813333506,0.23019217453400292,0.2894686905741692
13,0.12232871745030077,0.1942138814330101,0.469441115796566,0.09731085423628492,0.301664899925391
14,0.002035211066404863,0.0011067004402478056,-0.00031603550910946215,0.004446634590625727,-0.02745466595888136
15,0.10900151779254291,0.08454723099867514,0.1110773006081581,0.09506875763336821,0.08051858355601631
16,0.2233706945975621,0.16945816018184034,0.18146796969572698,0.3822171369989714,0.18974670060475665
17,0.2848790978988011,0.2221860327919325,0.11408550377686814,0.2606785140037537,0.22560552245378496
18,0.05159783842166288,0.1850124497413636,0.1081505872011185,0.46193266065915434,0.1776546061237653
19,0.07756326202551528,0.16379622334241864,0.1464350836873055,0.6384670143723487,0.18491580261786783
20,0.019291619857152414,0.02687731951475149,0.01955438554286958,-0.044297142525513984,-0.03893441379070283
21,0.017776150465011492,0.04802045967181516,0.10039404139916103,0.017964805722236653,0.0022206256389617762
22,0.057663424074649805,0.343626240948836,0.28720112895965566,0.10426377073923743,0.062155220071474684
23,0.1584611727197965,0.4869745634396871,0.22533952617645264,0.02493560506900152,0.14975241446495058
24,0.05570997558037455,0.04027368070681891,0.07836140286922455,0.037652691324551874,0.06684002689520513
25,0.028386070013046355,0.1292498617172241,0.22014584986368818,0.21570769953727723,0.047785438378651915
26,0.11559263936678563,0.17089751434326167,0.21100119960308075,0.1743234944542249,0.09640796226263046
27,0.11761290552218742,0.2285476423501968,0.22531368466218316,0.1886555331150691,0.12720017633835473
28,0.07382218070824945,0.206523954252402,0.15764711119731264,0.16429339575767515,0.12214220611254378
29,0.017352220098177468,0.25321193762620275,0.19769343046347299,0.22136478014787037,0.1067054038047791
30,0.027454887191454502,0.21815662151575094,0.21235386556386956,0.1557751597563426,0.06174905852476755
31,0.04339177103837316,0.22312180332342793,0.09727193089326222,0.14659235111872357,0.043860191226005533
32,-0.06820616302887594,0.1543354462782543,0.0669092644453049,0.12366501800219215,0.00254349650939302
33,-0.06322677167256682,0.12257874407370897,0.040301037212213016,0.07941454398632049,-0.0033889332612355647
34,-0.0921235102216404,0.09968286546071359,0.08338890604178105,0.07047506393988931,0.0617604568799337
35,-0.009975610494613985,0.06314815032482135,-0.009112683057785106,0.08028135953346888,0.06300918199618658
36,-0.12756786831219985,0.03610545736551299,-0.08386861272652942,0.018731221576531735,0.016661093552907347
37,-0.10991575551033018,0.01996140706539145,-0.02767546546459202,-0.019123862703641255,-0.007639811555544503
38,-0.11806048051516213,0.012542660276095088,-0.013103554407755506,-0.012034360726674395,-0.008091775536537178
39,-0.09540026591221498,0.03673731201887141,-0.0044993123014768,0.018813778897126536,0.003988727966944362
40,-0.05424631235996874,0.059580151061217015,-0.008152133007844273,0.011674531519413,0.019813776930173235
