frame,feature_1,feature_2,feature_3,feature_4,feature_5
1,0.013749821643034628,0.20048769291241966,0.32968371427059173,0.34065939193964007,0.1279756054878235
2,-0.5021236931085586,-0.05306679564714432,0.11465693108240763,1.0608205069303513,-0.12528809485832848
3,-0.46008478951454157,0.06918015199899674,0.2164279550115268,0.8445801317493119,0.020101125816504167
4,-0.4757922671834629,-0.035929156800111176,0.08489093178510666,1.126087516884009,-0.08910802618662514
5,-0.44349906376997633,0.005883790632089016,0.08587276675303776,1.0573466796477635,-0.03461220892270403
6,-0.3891418911814689,0.009438969512780514,0.030538389106591544,1.1041197869380313,0.014403249442577388
7,-0.3735367554028829,-0.044769299983978286,-0.0029858470559120144,0.9945485436320304,-0.029418658773104348
8,-0.44338963474829984,-0.18840946849187215,-0.07699668055772785,0.903638469318549,0.08948520654439926
9,-0.5196156676014264,-0.07513023042678833,-0.09652158890167874,0.525999745587508,0.09082264628012976
10,-0.09763434781630835,0.11284878985087077,-0.1694211488366127,0.13969588156541182,0.08623412783940634
11,-0.1900622844497363,0.09904483687877652,-0.1527933228810628,0.2746611779133479,0.17253099383910497
12,-0.21133287801345196,0.01904277658462522,-0.06108606789509455,0.2680950003465017,0.23228578166166947
13,-0.3048285663326581,-0.12273501964410147,-0.03647055002053578,0.4020096124013265,0.2539352601567904
14,-0.2623110934694608,0.007817262848218286,-0.09080434060096741,0.2847555680473646,0.26178084198633833
15,-0.27466586764653517,0.031147148251533502,-0.17418266123533246,0.2263637208342552,0.11602603717645008
16,-0.21781669817368196,0.04081104723612464,-0.14790605258941653,0.04997608321905136,0.2199300937652588
17,-0.26529650861024856,0.026614662965138737,-0.15767250561714172,0.024531447947025293,0.2354215146700541
18,-0.16235235214233398,-0.006679377655188244,-0.3200230654080709,-0.21178615589936578,0.11414991607268649
19,0.1290690411329269,-0.05602159547805786,-0.17456940768162407,-0.5405745450456938,-0.014147702932357804
20,0.311139453013738,0.1499326117436091,-0.0031601790984471783,-0.7383079075217246,-0.2945257386962573
21,0.272573495566845,0.1028944616119067,-0.0944485966761907,-0.5840764839847883,-0.04623626822233201
22,-0.07581365907192232,-0.06993147983153662,-0.20136595590909323,-0.5523301113049189,-0.22310171757141747
23,0.5832142440875371,0.25672209932406737,0.2635785929759343,-0.7249536058902739,-0.35258443897962577
24,-0.020803116858005524,-0.06761385083198551,-0.22097862084706624,-0.48806723733743035,-0.1596169482668241
25,0.604025592227777,0.2607021545569102,0.19726809483766558,-0.5947687913775443,-0.2022333468794823
26,-0.22193228270610177,-0.06653976674874626,-0.09273044294118882,0.19909387989838914,0.101116906841596
27,-0.1085535856485367,-0.18790418986479443,-0.21153371119499212,-0.37195342793067304,-0.1555703639388085
28,0.3958997047940891,0.0554413280884425,0.2001564387480418,-0.908077823718389,-0.4994987494746844
29,0.4285721090435982,-0.020684257050355287,0.11761532296737034,-0.8986956505974134,-0.44016608397165935
30,0.5446603650252027,0.04470320616165795,0.1117309160431226,-0.7810034196178118,-0.36512634044885633
31,0.34355949477354675,0.040201815525690694,0.03117586598793666,-0.6763970249295238,-0.3713104643821717
32,0.3623859142859777,0.04292725121974948,0.08006889686981836,-0.6700005131363868,-0.2698046847581864
33,0.2678252724011739,0.04917898855606716,-0.06704168844223021,-0.6480597413380941,-0.3160938530961673
34,0.2594313261906306,0.10769016047318777,0.0615713517864545,-0.6439969006180764,-0.2268504097064336
35,0.2096173118948937,0.09830176675319673,-0.061201378266016654,-0.5627076800266902,-0.21564759955803556
36,0.3802038166125615,0.07889642528692883,0.053856622993946085,-0.5718573780655861,-0.20724833536148074
37,0.05758642123142878,0.0840901561180751,-0.06416840308904649,-0.41494216028849273,-0.2374190920988719
38,0.24740342754125594,0.14019809979200362,0.005679802576700848,-0.5049519345362982,-0.23995316656430565
39,0.24388964370886485,0.19511545147498444,0.0521821761727333,-0.39084468537569045,-0.27348462575674065
40,0.2093302888472875,0.19116238760948184,0.09386778809626897,-0.4015619709293047,-0.14171513032913208
