Navaid_ID,Sector_ID
DM412_FL000,SECTOR_000010
DM420_FL000,SECTOR_000023
DM421_FL000,SECTOR_000023
DM422_FL000,SECTOR_000021
DM423_FL000,SECTOR_000033
DM424_FL000,SECTOR_000033
DM425_FL000,SECTOR_000010
DM426_FL000,SECTOR_000010
DM427_FL000,SECTOR_000010
DM428_FL000,SECTOR_000010
DM429_FL000,SECTOR_000003
DM430_FL000,SECTOR_000031
DM431_FL000,SECTOR_000031
DM433_FL000,SECTOR_000021
DM436_FL000,SECTOR_000013
DM438_FL000,SECTOR_000010
DM439_FL000,SECTOR_000003
DM440_FL000,SECTOR_000031
DM441_FL000,SECTOR_000031
DM443_FL000,SECTOR_000021
DM446_FL000,SECTOR_000013
DM448_FL000,SECTOR_000013
DM449_FL000,SECTOR_000003
DM450_FL000,SECTOR_000015
DM451_FL000,SECTOR_000034
DM452_FL000,SECTOR_000021
DM453_FL000,SECTOR_000021
DM454_FL000,SECTOR_000021
DM455_FL000,SECTOR_000013
DM456_FL000,SECTOR_000013
DM457_FL000,SECTOR_000013
DM458_FL000,SECTOR_000013
DM459_FL000,SECTOR_000003
DM460_FL000,SECTOR_000021
DM461_FL000,SECTOR_000001
DM531_FL000,SECTOR_000029
DM532_FL000,SECTOR_000033
DM541_FL000,SECTOR_000030
DM542_FL000,SECTOR_000021
DM551_FL000,SECTOR_000032
DM552_FL000,SECTOR_000010
DM561_FL000,SECTOR_000032
DM562_FL000,SECTOR_000013
DMN01_FL000,SECTOR_000029
DMN02_FL000,SECTOR_000032
DMN11_FL000,SECTOR_000032
DMN18_FL000,SECTOR_000032
DMN19_FL000,SECTOR_000032
DMN21_FL000,SECTOR_000032
DMN35_FL000,SECTOR_000021
DMS01_FL000,SECTOR_000030
DMS11_FL000,SECTOR_000032
DMS14_FL000,SECTOR_000021
DMS26_FL000,SECTOR_000030
DMS31_FL000,SECTOR_000021
DMS83_FL000,SECTOR_000032
DODIL_FL000,SECTOR_000002
DOMAL_FL000,SECTOR_000022
DONAX_FL000,SECTOR_000002
DONIX_FL000,SECTOR_000027
DS011_FL000,SECTOR_000011
DS020_FL000,SECTOR_000035
DS021_FL000,SECTOR_000035
DS026_FL000,SECTOR_000036
DS030_FL000,SECTOR_000036
DS031_FL000,SECTOR_000036
DS032_FL000,SECTOR_000035
DS033_FL000,SECTOR_000036
DS034_FL000,SECTOR_000011
DS035_FL000,SECTOR_000035
DS036_FL000,SECTOR_000036
DS037_FL000,SECTOR_000036
DS038_FL000,SECTOR_000035
DS410_FL000,SECTOR_000011
DS425_FL000,SECTOR_000035
DS426_FL000,SECTOR_000037
DS427_FL000,SECTOR_000011
DS435_FL000,SECTOR_000002
DS436_FL000,SECTOR_000011
DS511_FL000,SECTOR_000035
DS512_FL000,SECTOR_000035
DS513_FL000,SECTOR_000035
DS514_FL000,SECTOR_000002
DS515_FL000,SECTOR_000002
DS517_FL000,SECTOR_000011
DS520_FL000,SECTOR_000011
DS522_FL000,SECTOR_000035
DS523_FL000,SECTOR_000002
DS524_FL000,SECTOR_000002
DS525_FL000,SECTOR_000002
DS526_FL000,SECTOR_000035
DS531_FL000,SECTOR_000035
DS532_FL000,SECTOR_000035
DS533_FL000,SECTOR_000035
DS534_FL000,SECTOR_000038
DS535_FL000,SECTOR_000002
DS542_FL000,SECTOR_000037
DS543_FL000,SECTOR_000002
DS544_FL000,SECTOR_000002
DS545_FL000,SECTOR_000002
DS625_FL000,SECTOR_000035
DS725_FL000,SECTOR_000036
EBEDA_FL000,SECTOR_000001
EBEVO_FL000,SECTOR_000001
ELKAT_FL000,SECTOR_000005
ELMUG_FL000,SECTOR_000001
ELSIS_FL000,SECTOR_000005
ELVAG_FL000,SECTOR_000002
ENOGO_FL000,SECTOR_000008
ERKIR_FL000,SECTOR_000000
ERNAS_FL000,SECTOR_000023
ESEGA_FL000,SECTOR_000003
ESISO_FL000,SECTOR_000007
ETAGO_FL000,SECTOR_000035
ETOXU_FL000,SECTOR_000011
EUR29_FL000,SECTOR_000021
EVAXI_FL000,SECTOR_000004
EVIVA_FL000,SECTOR_000010
FHA01_FL000,SECTOR_000011
FHA28_FL000,SECTOR_000011
FHA35_FL000,SECTOR_000011
FHA52_FL000,SECTOR_000011
FHA69_FL000,SECTOR_000007
FHA81_FL000,SECTOR_000007
FHA89_FL000,SECTOR_000011
FHA98_FL000,SECTOR_000007
FRE45_FL000,SECTOR_000009
FUSSE_FL000,SECTOR_000007
GAMLI_FL000,SECTOR_000039
GASNA_FL000,SECTOR_000024
GESGI_FL000,SECTOR_000006
GILIN_FL000,SECTOR_000012
GIMBO_FL000,SECTOR_000009
GIMIX_FL000,SECTOR_000012
GIMOS_FL000,SECTOR_000007
GIRIS_FL000,SECTOR_000007
GISPO_FL000,SECTOR_000028
GIVMI_FL000,SECTOR_000023
GOGEM_FL000,SECTOR_000012
GOLVA_FL000,SECTOR_000005
GONBA_FL000,SECTOR_000003
GORLA_FL000,SECTOR_000008
GOTAR_FL000,SECTOR_000004
GRZ40_FL000,SECTOR_000005
GRZNB_FL000,SECTOR_000005
GUDEG_FL000,SECTOR_000010
GUPIN_FL000,SECTOR_000038
HAMAG_FL000,SECTOR_000009
IBIRU_FL000,SECTOR_000040
IBZ04_FL000,SECTOR_000012
IBZ07_FL000,SECTOR_000012
IBZ10_FL000,SECTOR_000012
IGL08_FL000,SECTOR_000010
IGL50_FL000,SECTOR_000010
IGLNB_FL000,SECTOR_000010
INPUD_FL000,SECTOR_000023
INSOL_FL000,SECTOR_000001
INTEX_FL000,SECTOR_000007
IRBIR_FL000,SECTOR_000008
ISTRI_FL000,SECTOR_000041
KANIN_FL000,SECTOR_000012
KEMAV_FL000,SECTOR_000002
KFT25_FL000,SECTOR_000005
KIRDI_FL000,SECTOR_000003
KLAGY_FL000,SECTOR_000005
KOGEX_FL000,SECTOR_000005
KOGOL_FL000,SECTOR_000000
KONIN_FL000,SECTOR_000000
KOVEL_FL000,SECTOR_000017
KPT23_FL000,SECTOR_000007
KTI04_FL000,SECTOR_000008
KTI05_FL000,SECTOR_000008
KTI08_FL000,SECTOR_000008
KUNET_FL000,SECTOR_000006
KUSAM_FL000,SECTOR_000007
LADAG_FL000,SECTOR_000009
LAKOL_FL000,SECTOR_000001
LALIN_FL000,SECTOR_000003
LANDU_FL000,SECTOR_000003
LANUX_FL000,SECTOR_000017
LASMI_FL000,SECTOR_000010
LBU41_FL000,SECTOR_000035
LBU45_FL000,SECTOR_000035
LCH03_FL000,SECTOR_000002
LCH04_FL000,SECTOR_000023
LCH05_FL000,SECTOR_000015
LCH06_FL000,SECTOR_000015
LCH07_FL000,SECTOR_000008
LCH08_FL000,SECTOR_000015
LCH09_FL000,SECTOR_000015
LCH16_FL000,SECTOR_000015
LCH27_FL000,SECTOR_000023
LCH30_FL000,SECTOR_000015
LCH34_FL000,SECTOR_000015
LCH35_FL000,SECTOR_000023
LCH40_FL000,SECTOR_000042
LCH50_FL000,SECTOR_000015
LCH97_FL000,SECTOR_000002
LCH99_FL000,SECTOR_000002
LEDRI_FL000,SECTOR_000006
LEDVA_FL000,SECTOR_000025
LELTA_FL000,SECTOR_000023
LEMSO_FL000,SECTOR_000008
LENIZ_FL000,SECTOR_000005
LEOBE_FL000,SECTOR_000005
LIKDA_FL000,SECTOR_000012
LIMRA_FL000,SECTOR_000005
LIZUM_FL000,SECTOR_000012
LNZ01_FL000,SECTOR_000043
LNZ08_FL000,SECTOR_000009
LNZ10_FL000,SECTOR_000009
LNZ11_FL000,SECTOR_000043
LNZ17_FL000,SECTOR_000003
LNZ20_FL000,SECTOR_000009
LNZ24_FL000,SECTOR_000044
LNZ35_FL000,SECTOR_000039
LNZ41_FL000,SECTOR_000009
LNZ42_FL000,SECTOR_000005
LNZ53_FL000,SECTOR_000005
LNZ60_FL000,SECTOR_000009
LNZ67_FL000,SECTOR_000045
LNZ70_FL000,SECTOR_000009
LNZ71_FL000,SECTOR_000003
LNZ79_FL000,SECTOR_000009
LNZNB_FL000,SECTOR_000009
LOFER_FL000,SECTOR_000001
LOMRO_FL000,SECTOR_000001
LORLO_FL000,SECTOR_000007
LUGIM_FL000,SECTOR_000009
LUPOL_FL000,SECTOR_000002
LUPOX_FL000,SECTOR_000046
LUSAN_FL000,SECTOR_000022
LUXEK_FL000,SECTOR_000000
MABOD_FL000,SECTOR_000017
MAGAT_FL000,SECTOR_000021
MAGIT_FL000,SECTOR_000045
MAH06_FL000,SECTOR_000021
MAH46_FL000,SECTOR_000021
MALAB_FL000,SECTOR_000002
MALUG_FL000,SECTOR_000012
MAMOR_FL000,SECTOR_000010
MANAL_FL000,SECTOR_000001
MAREG_FL000,SECTOR_000006
MASUR_FL000,SECTOR_000017
MATAR_FL000,SECTOR_000008
MATIG_FL000,SECTOR_000045
MBG03_FL000,SECTOR_000010
MBG11_FL000,SECTOR_000010
MBG12_FL000,SECTOR_000010
MBG13_FL000,SECTOR_000010
MDF11_FL000,SECTOR_000013
MEBEK_FL000,SECTOR_000003
MEXIT_FL000,SECTOR_000011
MIKOV_FL000,SECTOR_000017
MILGO_FL000,SECTOR_000005
MILKA_FL000,SECTOR_000011
MIQ23_FL000,SECTOR_000010
MIRLU_FL000,SECTOR_000006
MNE32_FL000,SECTOR_000029
MNW01_FL000,SECTOR_000032
MNW10_FL000,SECTOR_000013
MNW32_FL000,SECTOR_000032
MNW42_FL000,SECTOR_000013
MNW68_FL000,SECTOR_000013
MORED_FL000,SECTOR_000047
MORKO_FL000,SECTOR_000025
MOTIX_FL000,SECTOR_000009
MSE14_FL000,SECTOR_000031
MSE20_FL000,SECTOR_000031
MSE34_FL000,SECTOR_000030
MSW10_FL000,SECTOR_000013
MSW35_FL000,SECTOR_000032
MSW39_FL000,SECTOR_000013
MUN04_FL000,SECTOR_000001
MUN13_FL000,SECTOR_000021
MUN15_FL000,SECTOR_000001
MUN16_FL000,SECTOR_000030
MUN17_FL000,SECTOR_000013
MUN18_FL000,SECTOR_000015
MUN40_FL000,SECTOR_000001
MUN54_FL000,SECTOR_000001
MUN55_FL000,SECTOR_000001
MUN81_FL000,SECTOR_000001
MUN82_FL000,SECTOR_000003
MUREG_FL000,SECTOR_000048
NAKUM_FL000,SECTOR_000005
NALOX_FL000,SECTOR_000004
NAMAG_FL000,SECTOR_000009
NAMUG_FL000,SECTOR_000003
NANIT_FL000,SECTOR_000001
NAPSA_FL000,SECTOR_000001
NATAG_FL000,SECTOR_000007
NEBEL_FL000,SECTOR_000007
NELBI_FL000,SECTOR_000013
NEMAL_FL000,SECTOR_000005
NERDU_FL000,SECTOR_000017
NEU01_FL000,SECTOR_000023
NEU02_FL000,SECTOR_000023
NEU03_FL000,SECTOR_000023
NEU04_FL000,SECTOR_000023
NEU08_FL000,SECTOR_000027
NEU09_FL000,SECTOR_000010
NEU11_FL000,SECTOR_000023
NEU14_FL000,SECTOR_000023
NEU24_FL000,SECTOR_000023
NEU30_FL000,SECTOR_000023
NEU44_FL000,SECTOR_000023
NEU45_FL000,SECTOR_000023
NEU61_FL000,SECTOR_000049
NEU88_FL000,SECTOR_000023
NIDLO_FL000,SECTOR_000048
NIGEB_FL000,SECTOR_000008
NIGSI_FL000,SECTOR_000004
NIMDI_FL000,SECTOR_000010
NIMDU_FL000,SECTOR_000005
NIPEL_FL000,SECTOR_000041
NOBRU_FL000,SECTOR_000046
NOKDA_FL000,SECTOR_000005
NORGU_FL000,SECTOR_000014
NORIN_FL000,SECTOR_000000
NORPA_FL000,SECTOR_000050
NORTO_FL000,SECTOR_000008
NOTGA_FL000,SECTOR_000035
NUNRI_FL000,SECTOR_000007
NYW03_FL000,SECTOR_000007
NYW04_FL000,SECTOR_000007
NYW11_FL000,SECTOR_000011
NYW12_FL000,SECTOR_000011
OB249_FL000,SECTOR_000006
OBAGA_FL000,SECTOR_000000
OBAXA_FL000,SECTOR_000015
OBEDI_FL000,SECTOR_000005
OBI07_FL000,SECTOR_000015
OBI11_FL000,SECTOR_000015
OBI16_FL000,SECTOR_000015
OBI55_FL000,SECTOR_000015
OBIKA_FL000,SECTOR_000015
OBLLZ_FL000,SECTOR_000018
ODNEM_FL000,SECTOR_000025
OEJ00_FL000,SECTOR_000000
OEJ04_FL000,SECTOR_000000
OEJ06_FL000,SECTOR_000000
OEJ11_FL000,SECTOR_000051
OEJ14_FL000,SECTOR_000008
OEJ17_FL000,SECTOR_000008
OEJ18_FL000,SECTOR_000008
OEJ20_FL000,SECTOR_000008
OEN11_FL000,SECTOR_000052
OEV00_FL000,SECTOR_000000
OEV01_FL000,SECTOR_000051
OEV04_FL000,SECTOR_000000
OEV05_FL000,SECTOR_000000
OEV06_FL000,SECTOR_000000
OEV07_FL000,SECTOR_000000
OEV08_FL000,SECTOR_000000
OEV10_FL000,SECTOR_000000
OEV12_FL000,SECTOR_000000
OEV14_FL000,SECTOR_000000
OEV16_FL000,SECTOR_000000
OEV17_FL000,SECTOR_000000
OEV22_FL000,SECTOR_000000
OEZ13_FL000,SECTOR_000050
OEZ34_FL000,SECTOR_000050
OEZ55_FL000,SECTOR_000052
OGEPI_FL000,SECTOR_000008
OGRUB_FL000,SECTOR_000005
OKR18_FL000,SECTOR_000006
OLETU_FL000,SECTOR_000033
OLPIX_FL000,SECTOR_000012
OSPEN_FL000,SECTOR_000020
OTRES_FL000,SECTOR_000007
OTSIS_FL000,SECTOR_000008
OZE02_FL000,SECTOR_000012
OZE04_FL000,SECTOR_000012
OZE06_FL000,SECTOR_000012
OZE08_FL000,SECTOR_000007
PABSA_FL000,SECTOR_000003
PASAU_FL000,SECTOR_000022
PELAD_FL000,SECTOR_000007
PEREX_FL000,SECTOR_000005
PESAT_FL000,SECTOR_000004
PESIM_FL000,SECTOR_000002
PINKA_FL000,SECTOR_000053
PITAR_FL000,SECTOR_000007
PUBEG_FL000,SECTOR_000053
R1756_FL000,SECTOR_000006
R1757_FL000,SECTOR_000006
R1803_FL000,SECTOR_000005
R1804_FL000,SECTOR_000026
R1805_FL000,SECTOR_000026
R1816_FL000,SECTOR_000011
R1817_FL000,SECTOR_000011
R1819_FL000,SECTOR_000009
R2115_FL000,SECTOR_000015
R2130_FL000,SECTOR_000029
R2131_FL000,SECTOR_000030
R2132_FL000,SECTOR_000032
R2133_FL000,SECTOR_000032
R2398_FL000,SECTOR_000010
R3055_FL000,SECTOR_000015
RADLY_FL000,SECTOR_000005
RASTA_FL000,SECTOR_000005
RATGO_FL000,SECTOR_000048
RAVED_FL000,SECTOR_000011
REDVO_FL000,SECTOR_000002
REKLU_FL000,SECTOR_000025
REKTI_FL000,SECTOR_000005
RENKA_FL000,SECTOR_000003
RENLO_FL000,SECTOR_000023
RENTA_FL000,SECTOR_000007
RESIA_FL000,SECTOR_000007
REUTL_FL000,SECTOR_000011
RIDAR_FL000,SECTOR_000002
RIXED_FL000,SECTOR_000002
ROKIL_FL000,SECTOR_000023
ROMGA_FL000,SECTOR_000016
RONAK_FL000,SECTOR_000007
ROREM_FL000,SECTOR_000014
ROTAX_FL000,SECTOR_000001
ROTIN_FL000,SECTOR_000001
RTT04_FL000,SECTOR_000000
RTT06_FL000,SECTOR_000000
RTT08_FL000,SECTOR_000000
RTT12_FL000,SECTOR_000001
RUSOT_FL000,SECTOR_000011
SASAL_FL000,SECTOR_000004
SBGNB_FL000,SECTOR_000047
SG005_FL000,SECTOR_000036
SG010_FL000,SECTOR_000035
SIGGI_FL000,SECTOR_000010
SIMBA_FL000,SECTOR_000003
SIRDU_FL000,SECTOR_000004
SITKU_FL000,SECTOR_000023
SITNI_FL000,SECTOR_000020
SNU00_FL000,SECTOR_000019
SNU10_FL000,SECTOR_000054
SNU13_FL000,SECTOR_000054
SOPRO_FL000,SECTOR_000004
SOTOV_FL000,SECTOR_000008
STAUB_FL000,SECTOR_000003
STEIN_FL000,SECTOR_000004
STO00_FL000,SECTOR_000017
SUBEN_FL000,SECTOR_000003
SUDEN_FL000,SECTOR_000011
SUDUX_FL000,SECTOR_000008
SUMEK_FL000,SECTOR_000017
SUMIR_FL000,SECTOR_000012
SUMUG_FL000,SECTOR_000015
SUNIS_FL000,SECTOR_000004
SUXAN_FL000,SECTOR_000007
TAGAS_FL000,SECTOR_000020
TAKUS_FL000,SECTOR_000001
TEGAD_FL000,SECTOR_000008
TEGBA_FL000,SECTOR_000023
TEKSI_FL000,SECTOR_000002
TELSI_FL000,SECTOR_000041
TEMLI_FL000,SECTOR_000009
TEMTA_FL000,SECTOR_000017
TGO10_FL000,SECTOR_000055
TILGO_FL000,SECTOR_000015
TIRUL_FL000,SECTOR_000007
TISAX_FL000,SECTOR_000007
TISKO_FL000,SECTOR_000048
TITIG_FL000,SECTOR_000001
TOBSO_FL000,SECTOR_000012
TOVKA_FL000,SECTOR_000056
TRAUN_FL000,SECTOR_000001
TULSI_FL000,SECTOR_000000
TURBU_FL000,SECTOR_000001
TUTAL_FL000,SECTOR_000008
ULMEX_FL000,SECTOR_000002
UMBIL_FL000,SECTOR_000020
UNIMI_FL000,SECTOR_000008
UNKEN_FL000,SECTOR_000001
UNSER_FL000,SECTOR_000035
URAVA_FL000,SECTOR_000012
UTABA_FL000,SECTOR_000011
VADOV_FL000,SECTOR_000009
VAMAS_FL000,SECTOR_000003
VAVOR_FL000,SECTOR_000001
VEBEG_FL000,SECTOR_000007
VEKEN_FL000,SECTOR_000012
VELOM_FL000,SECTOR_000003
VEMUG_FL000,SECTOR_000023
VENEN_FL000,SECTOR_000009
VENOG_FL000,SECTOR_000012
VESAL_FL000,SECTOR_000012
VIBUG_FL000,SECTOR_000003
WGM00_FL000,SECTOR_000050
WGM12_FL000,SECTOR_000026
WGM15_FL000,SECTOR_000026
WGM19_FL000,SECTOR_000052
WGM21_FL000,SECTOR_000052
