V0,V1,D
AMEXO_FL000,LCH50_FL000,1450.157
AMEXO_FL000,LCH08_FL000,5968.851
AMEXO_FL000,LCH16_FL000,8924.831
AMEXO_FL000,LCH99_FL000,25566.792
AMPEG_FL000,DM450_FL000,8699.422
AMPEG_FL000,OBERPFAFFENHOFEN_FL000,9819.446
AMPEG_FL000,R2115_FL000,9833.175
AMPEG_FL000,OBI16_FL000,9868.970
AMPEG_FL000,LANDSBERG_FL000,12530.538
AMRIS_FL000,ROMGA_FL000,2147.412
AMRIS_FL000,BODAN_FL000,10580.882
ANDEC_FL000,KONIN_FL000,3813.321
ANDEC_FL000,DISUN_FL000,17317.903
ANDEC_FL000,BETOS_FL000,20202.776
ANDEC_FL000,OBI16_FL000,20237.044
ANDEC_FL000,OBAXA_FL000,28337.884
ANKER_FL000,DM412_FL000,876.452
ANKER_FL000,DM057_FL000,3945.098
ANKER_FL000,DM065_FL000,3945.098
ARNOS_FL000,GIMIX_FL000,11264.242
ARNOS_FL000,GILIN_FL000,11568.563
ARNOS_FL000,KANIN_FL000,12094.324
ARNOS_FL000,URAVA_FL000,14202.351
ARNOS_FL000,VEKEN_FL000,14729.966
ARNOS_FL000,NOKDA_FL000,35265.458
ARSIN_FL000,SOPRO_FL000,4421.572
ARSIN_FL000,WW891_FL000,13898.752
ARSIN_FL000,STEIN_FL000,19257.551
ARSUT_FL000,MENGEN_FL000,12821.335
ARSUT_FL000,UTABA_FL000,13923.400
ARTUS_FL000,GASNA_FL000,13657.931
ARTUS_FL000,NANIT_FL000,15564.113
ARTUS_FL000,RTT06_FL000,15700.770
ARTUS_FL000,LOFER_FL000,28668.538
ASTUT_FL000,NERDU_FL000,31585.197
ASTUT_FL000,KOVEL_FL000,33798.585
ASTUT_FL000,WW675_FL000,34409.730
ASTUT_FL000,LANUX_FL000,34531.859
ASTUT_FL000,TEMTA_FL000,40096.304
ASTUT_FL000,MIKOV_FL000,42073.242
ASTUT_FL000,LKNA_FL000,44527.190
ATRIG_FL000,SOTOV_FL000,7741.239
ATRIG_FL000,OGEPI_FL000,12874.431
ATRIG_FL000,BRENO_FL000,13494.962
ATRIG_FL000,UNIMI_FL000,15464.850
B0001_FL000,B0002_FL000,184.981
B0001_FL000,OBLLZ_FL000,1706.396
B0002_FL000,MAREG_FL000,15767.045
BABEG_FL000,DS435_FL000,44.373
BABEG_FL000,DS523_FL000,3803.160
BADIT_FL000,KIRDI_FL000,4910.748
BADIT_FL000,SIMBA_FL000,15300.472
BADIT_FL000,TITIG_FL000,23550.069
BADVI_FL000,TULSI_FL000,12140.922
BADVI_FL000,MUN55_FL000,12688.802
BADVI_FL000,TURBU_FL000,12882.853
BADVI_FL000,RTT12_FL000,15382.891
BADVI_FL000,MANAL_FL000,21660.894
BAGSI_FL000,LNZ01_FL000,3255.091
BAGSI_FL000,OGRUB_FL000,31078.984
BAKOR_FL000,VESAL_FL000,24357.352
BAKOR_FL000,OGEPI_FL000,34678.820
BAKOR_FL000,OLPIX_FL000,40912.894
BAKOR_FL000,DETSA_FL000,47310.867
BALAD_FL000,WIERNER_FL000,8916.350
BALAD_FL000,WW301_FL000,21615.664
BALAD_FL000,DIVAL_FL000,24880.078
BALAD_FL000,WW901_FL000,26660.797
BAMUR_FL000,LSZR_FL000,6687.237
BAMUR_FL000,BODAN_FL000,8396.520
BAMUR_FL000,NUNRI_FL000,9407.361
BAMUR_FL000,ROMGA_FL000,12116.597
BARUG_FL000,BARUV_FL000,9343.052
BARUG_FL000,WW116_FL000,12805.692
BARUG_FL000,GRZ40_FL000,57677.915
BARUV_FL000,WW116_FL000,15504.927
BARUV_FL000,WW148_FL000,17291.195
BARUV_FL000,WW117_FL000,24382.121
BARUV_FL000,OSPEN_FL000,45615.992
BAVAX_FL000,DM453_FL000,2317.406
BAVAX_FL000,DM542_FL000,2408.896
BAVAX_FL000,DM050_FL000,3656.270
BEGEN_FL000,DM061_FL000,2399.383
BEGEN_FL000,DM032_FL000,2565.223
BEGEN_FL000,DM041_FL000,3063.047
BEGEN_FL000,DM452_FL000,10547.881
BEGEN_FL000,MUN13_FL000,11686.520
BEGLA_FL000,WW954_FL000,3691.183
BEGLA_FL000,EVAXI_FL000,5967.790
BEGLA_FL000,WW953_FL000,10446.344
BEPAS_FL000,PASAU_FL000,14851.927
BEPAS_FL000,LUSAN_FL000,16585.699
BEPAS_FL000,LALIN_FL000,19663.600
BEPAS_FL000,VADOV_FL000,42475.959
BERAS_FL000,OEV17_FL000,2609.375
BERAS_FL000,OEV22_FL000,7955.676
BESNI_FL000,NEU01_FL000,7567.971
BESNI_FL000,NEU44_FL000,8203.018
BESNI_FL000,TEGBA_FL000,10488.093
BESNI_FL000,ROKIL_FL000,14567.305
BETOS_FL000,SUMUG_FL000,957.612
BIKBI_FL000,MEXIT_FL000,6734.264
BIKBI_FL000,RUSOT_FL000,11186.337
BIKBI_FL000,MENGEN_FL000,11605.771
BIRGI_FL000,OEV22_FL000,5039.206
BIRGI_FL000,RATTENBERG_FL000,9245.281
BIRGI_FL000,GASNA_FL000,19791.828
BIXEL_FL000,DINOG_FL000,10621.858
BIXEL_FL000,STAUB_FL000,11197.876
BIXEL_FL000,DEGIN_FL000,13918.913
BIXEL_FL000,VAMAS_FL000,15923.561
BODAN_FL000,FHA52_FL000,5939.656
BODAN_FL000,FHA35_FL000,5991.277
BOLMU_FL000,ODNEM_FL000,21387.678
BOLMU_FL000,BRNO_FL000,22334.275
BOLMU_FL000,MORKO_FL000,26454.893
BOLMU_FL000,LEDVA_FL000,31057.876
BOLMU_FL000,MIKOV_FL000,33146.383
BRENO_FL000,MATAR_FL000,9373.457
BRENO_FL000,GOGEM_FL000,12128.026
BRENO_FL000,INNSBRUCK_FL000,27865.051
BRENO_FL000,OEJ14_FL000,28386.800
BRK63_FL000,R1804_FL000,386.444
BRK94_FL000,WO114_FL000,327.184
BRK94_FL000,WW596_FL000,519.222
BRK94_FL000,WW110_FL000,646.381
BUDEX_FL000,CESKE_FL000,13095.189
BUDEX_FL000,VADOV_FL000,33275.888
BUDEX_FL000,DEGAB_FL000,40061.352
BURAM_FL000,NEU08_FL000,4781.841
BURAM_FL000,NEU24_FL000,8132.466
BURAM_FL000,DONIX_FL000,14269.714
BURAM_FL000,RIDAR_FL000,16043.578
BURAM_FL000,XERUM_FL000,18476.770
BUREG_FL000,LCH27_FL000,5286.237
BUREG_FL000,LELTA_FL000,9088.641
BUREG_FL000,ROKIL_FL000,12988.786
BZO22_FL000,ENOGO_FL000,8376.423
BZO22_FL000,GIRIS_FL000,8744.188
BZO22_FL000,TISAX_FL000,13108.117
CHIEM_FL000,DM076_FL000,11028.631
CHIEM_FL000,INSOL_FL000,12341.939
CHIEM_FL000,TRAUN_FL000,19300.025
CHIEM_FL000,LOMRO_FL000,20551.761
DEGAB_FL000,PASAU_FL000,23203.450
DEGAB_FL000,PABSA_FL000,24314.508
DEGAB_FL000,FREISTADT_FL000,33772.395
DEGAB_FL000,VADOV_FL000,47257.675
DEGIN_FL000,DINOG_FL000,14076.066
DEGIN_FL000,EGGENFELDEN_FL000,22948.191
DEGUM_FL000,GILIN_FL000,2912.914
DEGUM_FL000,KANIN_FL000,6091.660
DENED_FL000,KTI04_FL000,6617.258
DENED_FL000,KUHTAI_FL000,7483.199
DENED_FL000,OEJ20_FL000,9334.880
DENED_FL000,NORTO_FL000,12448.082
DENUX_FL000,WW381_FL000,2087.741
DENUX_FL000,WW115_FL000,13791.826
DENUX_FL000,TAGAS_FL000,17101.373
DEPIN_FL000,DM450_FL000,7658.945
DEPIN_FL000,DM440_FL000,10094.911
DEPIN_FL000,LCH05_FL000,11306.403
DEPIN_FL000,LANDSBERG_FL000,15499.360
DETSA_FL000,VENOG_FL000,16936.734
DETSA_FL000,MALUG_FL000,26378.951
DILIT_FL000,DITIS_FL000,16462.157
DILIT_FL000,DESNA_FL000,17104.095
DILIT_FL000,KOVEL_FL000,28472.277
DILIT_FL000,WW192_FL000,41251.027
DIMLO_FL000,TISKO_FL000,32864.208
DIMLO_FL000,RATGO_FL000,33180.531
DIMLO_FL000,NIDLO_FL000,35233.947
DIMLO_FL000,NALOX_FL000,36658.139
DIMLO_FL000,GOTAR_FL000,38063.447
DIMUP_FL000,NEBEL_FL000,10209.496
DIMUP_FL000,FUSSE_FL000,20558.476
DIMUP_FL000,NYW04_FL000,41748.947
DIMUP_FL000,NUNRI_FL000,42503.785
DIMUP_FL000,ESISO_FL000,43052.967
DIMUP_FL000,VEBEG_FL000,46990.821
DINOG_FL000,VAMAS_FL000,16120.397
DINOG_FL000,DM429_FL000,16746.588
DINOG_FL000,LANDU_FL000,17869.507
DISUN_FL000,EURACH_FL000,17839.488
DISUN_FL000,OBI16_FL000,24841.942
DISUN_FL000,TEGAD_FL000,26029.358
DISUN_FL000,LCH16_FL000,26532.383
DISUN_FL000,LANDSBERG_FL000,26588.546
DITIS_FL000,TEMLI_FL000,28217.437
DITIS_FL000,GIMBO_FL000,31470.004
DITIS_FL000,LADAG_FL000,34803.829
